id,filename,date,vol,no,pages,words
52151,cn1921-11-09.txt,1921-11-09,8,6,6,12421
93005,cn1967-02-17.txt,1967-02-17,53,13,8,12255
91893,cn1955-05-31.txt,1955-05-31,41,25,6,9544
86957,cn1934-11-21.txt,1934-11-21,21,6,6,15908
89836,cn1946-12-11.txt,1946-12-11,33,10,6,14060
88126,cn1934-10-31.txt,1934-10-31,21,3,6,15513
6496,cn1914-10-08.txt,1914-10-08,1,2,4,6500
91513,cn1958-02-19.txt,1958-02-19,44,13,6,14970
87662,cn1932-05-06.txt,1932-05-06,18,20,18,31898
88173,cn1928-11-14.txt,1928-11-14,15,6,4,11139
88922,cn1937-02-24.txt,1937-02-24,23,15,6,15510
92931,cn1964-02-21.txt,1964-02-21,50,13,4,10502
86464,cn1924-03-05.txt,1924-03-05,10,17,7,13502
91631,cn1959-11-04.txt,1959-11-04,46,6,6,15459
52144,cn1922-05-03.txt,1922-05-03,8,22,6,11318
90092,cn1949-02-16.txt,1949-02-16,35,14,8,16579
90770,cn1948-12-15.txt,1948-12-15,35,11,6,14082
86795,cn1930-10-22.txt,1930-10-22,17,3,4,10675
6791,cn1916-10-18.txt,1916-10-18,3,3,4,6557
89197,cn1944-04-12.txt,1944-04-12,30,21,6,13362
90556,cn1946-01-16.txt,1946-01-16,32,11,4,7978
86559,cn1926-03-31.txt,1926-03-31,12,20,4,7041
89320,cn1938-10-19.txt,1938-10-19,25,2,4,11095
86749,cn1923-11-14.txt,1923-11-14,10,7,6,12868
88929,cn1942-12-09.txt,1942-12-09,29,11,6,14277
52152,cn1921-11-16.txt,1921-11-16,8,7,6,11777
88323,cn1936-03-25.txt,1936-03-25,22,18,6,15184
92027,cn1956-02-22.txt,1956-02-22,42,13,6,12777
88606,cn1941-11-26.txt,1941-11-26,28,9,6,12017
7759,cn1918-11-14.txt,1918-11-14,5,7,6,10801
88465,cn1939-01-18.txt,1939-01-18,25,11,4,9843
88096,cn1934-11-07.txt,1934-11-07,21,4,6,14855
86686,cn1925-03-18.txt,1925-03-18,11,19,8,13624
7758,cn1918-11-07.txt,1918-11-07,5,6,6,10148
