filename,GPE,GPE_clean,count
cn1939-01-11.txt,WAYNE,Wayne,1
cn1939-01-11.txt,PA,Pennsylvania,1
cn1939-01-11.txt,Paris,Paris,1
cn1939-01-11.txt,Rome,Rome,5
cn1939-01-11.txt,Goeteberg,Goeteberg,1
cn1939-01-11.txt,Sweden,Sweden,1
cn1939-01-11.txt,Pompeii,Pompeii,1
cn1939-01-11.txt,Egypt,Egypt,1
cn1939-01-11.txt,Palestine,Palestine,8
cn1939-01-11.txt,Cy-,Cy-,1
cn1939-01-11.txt,Cairo,Cairo,1
cn1939-01-11.txt,Mesopotamia,Mesopotamia,1
cn1939-01-11.txt,Jerusalem,Jerusalem,1
cn1939-01-11.txt,Cyprus,Cyprus,1
cn1939-01-11.txt,Belgium,Belgium,1
cn1939-01-11.txt,New York,New York,3
cn1939-01-11.txt,the Basque Country,the Basque Country,1
cn1939-01-11.txt,Spain,Spain,8
cn1939-01-11.txt,Wayne,Wayne,3
cn1939-01-11.txt,Pa.,Pennsylvania,4
cn1939-01-11.txt,the A. S. U.,United States OR A.S.U,3
cn1939-01-11.txt,Bryn Mawr,Bryn Mawr,11
cn1939-01-11.txt,Bpon,Bpon,1
cn1939-01-11.txt,Kentucky,Kentucky,1
cn1939-01-11.txt,Seville,Seville,2
cn1939-01-11.txt,rban,rban,1
cn1939-01-11.txt,Providence,Providence,1
cn1939-01-11.txt,R. I.,Rhode Island,1
cn1939-01-11.txt,China,China,2
cn1939-01-11.txt,the United States,United States,1
cn1939-01-11.txt,Mount Ivy,Mount Ivy,1
cn1939-01-11.txt,Vassar,Vassar,2
cn1939-01-11.txt,Pough- keepsie,Pough- keepsie,2
cn1939-01-11.txt,Pa,Pennsylvania,1
cn1939-01-11.txt,To-,To-,1
cn1939-01-11.txt,Madrid,Madrid,1
cn1939-01-11.txt,Arizona,Arizona,1
cn1939-01-11.txt,California,California,1
cn1939-01-11.txt,Utah,Utah,1
cn1939-01-11.txt,Great. Britain,Great Britain,1
cn1939-01-11.txt,Great Britain,Great Britain,2
cn1939-01-11.txt,Winston-Salem,Winston-Salem,1
cn1939-01-11.txt,N.C,North Carolina,1
cn1939-01-11.txt,New York City,New York City,2
cn1939-01-11.txt,Thermae,Thermae,1
cn1939-01-11.txt,Cologne,Cologne,1
cn1939-01-11.txt,Philodelphia,Philadelphia,1
cn1939-01-11.txt,Our Village,Our Village,1
cn1939-01-11.txt,Narberth,Narberth,1
cn1939-01-11.txt,Vermont,Vermont,1
cn1939-01-11.txt,Mawr,Mawr UNKNOWN,1
cn1939-01-11.txt,Swarthmore,Swarthmore,1
cn1939-01-11.txt,Vir- ginia,Virginia,1
cn1939-01-11.txt,ryn Mawr,Bryn Mawr,1
cn1939-01-11.txt,Poconos,Poconos,1
cn1939-01-11.txt,Mexico,Mexico,5
cn1939-01-11.txt,Mex-,Mex-,1
cn1939-01-11.txt,London,London,1
cn1939-01-11.txt,Schenectady,Schenectady,1
cn1939-01-11.txt,Munich,Munich,1
cn1939-01-11.txt,Japan,Japan,1
cn1939-01-11.txt,Lima,Lima,1
cn1939-01-11.txt,Philadelphia,Philadelphia,1
cn1939-01-11.txt,Chesterfield,Chesterfield,1
cn1939-01-11.txt,Chesterfields,Chesterfield,1
cn1939-01-18.txt,PA,Pennsylvania,2
cn1939-01-18.txt,Hungary,Hungary,1
cn1939-01-18.txt,Canada,Canada,1
cn1939-01-18.txt,New York,New York,1
cn1939-01-18.txt,Washington,Washington UNKNOWN,1
cn1939-01-18.txt,England,England,1
cn1939-01-18.txt,France,France,3
cn1939-01-18.txt,Germany,Germany,4
cn1939-01-18.txt,Lima,Lima,5
cn1939-01-18.txt,Buenos Aires,Buenos Aires,2
