filename,GPE,GPE_clean,count
cn1950-01-11.txt,BRYN MAWR,Bryn Mawr,1
cn1950-01-11.txt,PA,Pennsylvania,1
cn1950-01-11.txt,the Soviet Union,Soviet Union,1
cn1950-01-11.txt,Bryn Mawr,Bryn Mawr,9
cn1950-01-11.txt,the United States,United States,3
cn1950-01-11.txt,Yugoslavia,Yugoslavia,7
cn1950-01-11.txt,Moscow,Moscow,5
cn1950-01-11.txt,Haverford,Haverford,3
cn1950-01-11.txt,New,New UNKNOWN,1
cn1950-01-11.txt,Ardmore,Ardmore,2
cn1950-01-11.txt,Pa.,Pennsylvania,5
cn1950-01-11.txt,China,China,7
cn1950-01-11.txt,Formosa,Formosa,1
cn1950-01-11.txt,Britain,Britain,1
cn1950-01-11.txt,The United States,United States,1
cn1950-01-11.txt,Hollywood,Hollywood,1
cn1950-01-11.txt,Paris,Paris,1
cn1950-01-11.txt,Philadel- phia’s,Philadelphia PLURAL,1
cn1950-01-11.txt,Philadelphia,Philadelphia,4
cn1950-01-11.txt,Askelon,Askelon,1
cn1950-01-11.txt,Spain,Spain,1
cn1950-01-11.txt,Nice,Nice,1
cn1950-01-11.txt,Grenoble,Grenoble,1
cn1950-01-11.txt,Russia,Russia,4
cn1950-01-11.txt,Swarthmore,Swarthmore,1
cn1950-01-11.txt,New Haven,New Haven,2
cn1950-01-11.txt,Conn.,Connecticut,1
cn1950-01-11.txt,New York,New York,2
cn1950-01-11.txt,Harrison,Harrison,1
cn1950-01-11.txt,Salem,Salem,1
cn1950-01-11.txt,America,United States,1
cn1950-01-11.txt,California,California,1
cn1950-01-11.txt,JEANETTE,Jeanette,1
cn1950-01-11.txt,CHESTERFIELD,Chesterfield,1
cn1950-01-18.txt,ARDMORE,Ardmore,1
cn1950-01-18.txt,BRYN MAWR,Bryn Mawr,2
cn1950-01-18.txt,PA,Pennsylvania,2
cn1950-01-18.txt,Bryn Mawr,Bryn Mawr,11
cn1950-01-18.txt,Denmark,Denmark,3
cn1950-01-18.txt,Germany,Germany,1
cn1950-01-18.txt,Norway,Norway,1
cn1950-01-18.txt,England,England,2
cn1950-01-18.txt,Russia,Russia,2
cn1950-01-18.txt,America,United States,1
cn1950-01-18.txt,Copenhagen,Copenhagen,1
cn1950-01-18.txt,the U. S.,United States,1
cn1950-01-18.txt,Charleston,Charleston,1
cn1950-01-18.txt,Oxford,Oxford,1
cn1950-01-18.txt,Spain,Spain,2
cn1950-01-18.txt,Germantown,Germantown,1
cn1950-01-18.txt,Pa.,Pennsylvania,3
cn1950-01-18.txt,Mamiltes,Mamiltes,1
cn1950-01-18.txt,Hamilton,Hamilton,2
cn1950-01-18.txt,N. Y.,New York,1
cn1950-01-18.txt,New York,New York,1
cn1950-01-18.txt,Haverford,Haverford,2
cn1950-01-18.txt,Duxbury,Duxbury,1
cn1950-01-18.txt,Mass.,Massachusetts,1
cn1950-01-18.txt,STOCKTON,Stockton,2
cn1950-01-18.txt,Philadelphia,Philadelphia,1
cn1950-01-18.txt,Prince William Sound,Prince William Sound,1
cn1950-02-15.txt,PA,Pennsylvania,1
cn1950-02-15.txt,Lilliput,Lilliput,1
cn1950-02-15.txt,Ardmore,Ardmore,4
cn1950-02-15.txt,Pa.,Pennsylvania,5
cn1950-02-15.txt,Philadelphia,Philadelphia,1
cn1950-02-15.txt,Park,Park,1
cn1950-02-15.txt,America,United States,2
cn1950-02-15.txt,Jersey,Jersey UKNOWN,1
cn1950-02-15.txt,New York,New York,4
cn1950-02-15.txt,Arden,Arden,1
cn1950-02-15.txt,Bryn Mawr,Bryn Mawr,6
cn1950-02-15.txt,Israel,Israel,2
cn1950-02-15.txt,India,India,1
cn1950-02-15.txt,New York 17,New York,1
cn1950-02-15.txt,N. Y.,New York,2
cn1950-02-15.txt,White Plains,White Plains,1
cn1950-02-15.txt,the United,United States,1
cn1950-02-15.txt,New York 23,New York,1
cn1950-02-15.txt,Los Angeles,Los Angeles,2
cn1950-02-15.txt,Russia,Russia,1
cn1950-02-15.txt,China,China,1
cn1950-02-15.txt,Switzerland,Switzerland,1
cn1950-02-15.txt,Westport,Westport,1
cn1950-02-15.txt,Connecticut,Connecticut,1
cn1950-02-15.txt,NEW YORK 3,New York,1
cn1950-02-15.txt,Phila,Philadelphia,1
cn1950-02-15.txt,Haverford,Haverford,1
cn1950-02-15.txt,Swarthmore,Swarthmore,1
cn1950-02-15.txt,Chestnut Hill,Chestnut Hill,1
cn1950-02-15.txt,Hiroshima,Hiroshima,1
cn1950-02-15.txt,Harrison,Harrison,1
cn1950-02-15.txt,CHESTERFIELD,Chesterfield,1
cn1950-02-22.txt,BRYN MAWR,Bryn Mawr,1
cn1950-02-22.txt,PA,Pennsylvania,2
cn1950-02-22.txt,Alaska,Alaska,1
cn1950-02-22.txt,Athens,Athens,1
cn1950-02-22.txt,Ardmore,Ardmore,2
cn1950-02-22.txt,Pa.,Pennsylvania,5
cn1950-02-22.txt,Germany,Germany,5
cn1950-02-22.txt,Canada,Canada,1
cn1950-02-22.txt,China,China,1
cn1950-02-22.txt,United States,United States,2
cn1950-02-22.txt,U.S.,United States,1
cn1950-02-22.txt,Lake Success,Lake Success,1
cn1950-02-22.txt,Japan,Japan,1
cn1950-02-22.txt,Austria,Austria,1
cn1950-02-22.txt,Mayrhofen,Mayrhofen,1
cn1950-02-22.txt,Salz,Salzburg,1
cn1950-02-22.txt,Paris,Paris,1
cn1950-02-22.txt,Normandy,Normandy,1
cn1950-02-22.txt,Rock,Rock,1
cn1950-02-22.txt,Basel,Basel,2
cn1950-02-22.txt,Britain,Britain,2
cn1950-02-22.txt,US,United States,1
cn1950-02-22.txt,Minnesota,Minnesota,1
cn1950-02-22.txt,Andover,Andover,1
cn1950-02-22.txt,Ecuador,Ecuador,1
cn1950-02-22.txt,Egypt,Egypt,1
cn1950-02-22.txt,France,France,1
cn1950-02-22.txt,Norway,Norway,1
cn1950-02-22.txt,India,India,1
cn1950-02-22.txt,Philippines,Philippines,1
cn1950-02-22.txt,United Kingdom,United Kingdom,1
cn1950-02-22.txt,Haverford,Haverford,1
cn1950-02-22.txt,Bryn Mawr,Bryn Mawr,8
cn1950-02-22.txt,USSR,Soviet Union,2
cn1950-02-22.txt,Soviet,Soviet,1
cn1950-02-22.txt,Russia,Russia,4
cn1950-02-22.txt,SAN FRANCISCO,San Francisco,1
cn1950-02-22.txt,CALIFORNIA,California,1
cn1950-02-22.txt,Wilmington,Wilmington,1
cn1950-02-22.txt,Del.,Delaware,1
cn1950-02-22.txt,London,London,1
cn1950-02-22.txt,N. Y.,New York,1
cn1950-02-22.txt,New York City,New York City,2
cn1950-02-22.txt,Arkansas,Arkansas,2
cn1950-02-22.txt,Fayetteville,Fayetteville,2
cn1950-02-22.txt,New York,New York,2
cn1950-02-22.txt,Harrison,Harrison,1
cn1950-02-22.txt,Oakley Ridge,Oakley Ridge,1
cn1950-02-22.txt,MAWR,Mawr UNKNOWN,1
cn1950-02-22.txt,Venice,Venice,1
cn1950-02-22.txt,Bryn Mawr 1208,Bryn Mawr,1
cn1950-02-22.txt,U. S.,United States,1
cn1950-02-22.txt,NY,New York,1
cn1950-02-22.txt,Chesterfield,Chesterfield,2
cn1950-02-22.txt,CHESTERFIELD,Chesterfield,1
cn1950-03-01.txt,ARDMORE,Ardmore,1
cn1950-03-01.txt,BRYN MAWR,Bryn Mawr,1
cn1950-03-01.txt,PA,Pennsylvania,1
cn1950-03-01.txt,Ruwussia,Ruwussia,1
cn1950-03-01.txt,the U. S.,United States,1
cn1950-03-01.txt,U. S. S. R,Soviet Union,1
cn1950-03-01.txt,Russia,Russia,2
cn1950-03-01.txt,New York,New York,5
cn1950-03-01.txt,the United States,United States,1
cn1950-03-01.txt,London,London,2
cn1950-03-01.txt,Palestine,Palestine,2
cn1950-03-01.txt,Israel,Israel,2
cn1950-03-01.txt,New York City,New York City,2
cn1950-03-01.txt,Ardmore,Ardmore,2
cn1950-03-01.txt,Pa.,Pennsylvania,3
cn1950-03-01.txt,Bryn Mawr’s,Bryn Mawr PLURAL,1
cn1950-03-01.txt,Britain,Britain,1
cn1950-03-01.txt,the Soviet Union,Soviet Union,1
cn1950-03-01.txt,S.S.'R.,Soviet Union,1
cn1950-03-01.txt,England,England,3
cn1950-03-01.txt,the U. S. S. R.,Soviet Union,1
cn1950-03-01.txt,Bryn Mawr,Bryn Mawr,3
cn1950-03-01.txt,U.S.F.,U.S.F.,1
cn1950-03-01.txt,Mexico,Mexico,1
cn1950-03-01.txt,Hollywood,Hollywood,2
cn1950-03-01.txt,Virginia,Virginia,1
cn1950-03-01.txt,Cali-,California,1
cn1950-03-01.txt,Ohio,Ohio,1
cn1950-03-01.txt,Chesterfield,Chesterfield,1
cn1950-03-01.txt,Philadelphia,Philadelphia,2
cn1950-03-01.txt,U. S.,United States,1
cn1950-03-01.txt,Spain,Spain,1
cn1950-03-01.txt,Italy,Italy,1
cn1950-03-01.txt,America,United States,1
cn1950-03-01.txt,NEW YORK 3,New York,1
cn1950-03-01.txt,N. Y.,New York,1
cn1950-03-08.txt,PA,Pennsylvania,1
cn1950-03-08.txt,Smyrna,Smyrna,1
cn1950-03-08.txt,Russia,Russia,1
cn1950-03-08.txt,Prague,Prague,1
cn1950-03-08.txt,Brussels,Brussels,2
cn1950-03-08.txt,Belgrade,Belgrade,1
cn1950-03-08.txt,Haverford,Haverford,3
cn1950-03-08.txt,Bryn Mawr,Bryn Mawr,9
cn1950-03-08.txt,Swarthmore,Swarthmore,1
cn1950-03-08.txt,the United States,United States,2
cn1950-03-08.txt,Ardmore,Ardmore,2
cn1950-03-08.txt,Pa.,Pennsylvania,4
cn1950-03-08.txt,Tokyo,Tokyo,1
cn1950-03-08.txt,Japan,Japan,1
cn1950-03-08.txt,Illinois,Illinois,1
cn1950-03-08.txt,Paris,Paris,1
cn1950-03-08.txt,Limousin,Limousin,1
cn1950-03-08.txt,Belgium,Belgium,1
cn1950-03-08.txt,London,London,2
cn1950-03-08.txt,Milan,Milan,1
cn1950-03-08.txt,Massachusetts,Massachusetts,1
